origin,destination,flow
E02007005,E02007005,28854
E02000524,E02000524,27280
E02000001,E02000001,22293
E02000977,E02000977,21419
E02007099,E02007099,21154
E02006875,E02006875,21023
W02000398,W02000398,19597
E02002784,E02002784,19431
E02005033,E02005033,15015
E02001260,E02001260,14683
E02003472,E02003472,14053
E02000972,E02000972,13862
E02005947,E02005947,13749
E02003517,E02003517,13698
E02002089,E02002089,13510
E02004512,E02004512,13468
E02006902,E02006902,13050
E02004314,E02004314,13039
E02005142,E02005142,12404
E02002715,E02002715,12168
