msoa,community
E02004417,0
E02006383,0
E02000810,0
E02000822,0
E02000808,0
E02000788,0
E02006802,0
E02006343,0
E02005063,0
E02003316,0
E02000691,0
E02000642,0
E02000807,0
E02003347,0
E02000687,0
E02000675,0
E02005000,0
E02000526,0
E02000707,0
E02006548,0
E02000237,0
E02000580,0
E02006392,0
E02004357,0
E02000130,0
E02005141,0
E02000631,0
E02006591,0
E02000388,0
E02006595,0
E02003513,0
E02006988,0
E02000789,0
E02006317,0
E02000081,0
E02006601,0
E02005165,0
E02000075,0
E02000374,0
E02000250,0
E02005060,0
E02000340,0
E02003344,0
E02000594,0
E02006545,0
E02000706,0
E02003522,0
E02000583,0
E02000929,0
E02000853,0
E02000978,0
E02000837,0
E02000380,0
E02006536,0
E02003314,0
E02006603,0
E02000226,0
E02006578,0
E02000324,0
E02003332,0
E02000857,0
E02000221,0
E02000138,0
E02006582,0
E02000662,0
E02005104,0
E02000952,0
E02003327,0
E02000083,0
E02000785,0
E02006336,0
E02006330,0
E02006786,0
E02000595,0
E02003324,0
E02000395,0
E02006372,0
E02005154,0
E02006334,0
E02000201,0
E02006377,0
E02006792,0
E02000086,0
E02000147,0
E02004356,0
E02005015,0
E02004405,0
E02004374,0
E02005146,0
E02006541,0
E02004364,0
E02006606,0
E02005113,0
E02000206,0
E02000682,0
E02003323,0
E02005080,0
E02006592,0
E02006801,0
E02006341,0
E02006584,0
E02000943,0
E02004397,0
E02000832,0
E02005066,0
E02003334,0
E02000957,0
E02000614,0
E02005065,0
E02004413,0
E02005103,0
E02006789,0
E02000373,0
E02000951,0
E02005150,0
E02000066,0
E02000092,0
E02006994,0
E02000926,0
E02000089,0
E02000667,0
E02000391,0
E02006323,0
E02000215,0
E02000596,0
E02000154,0
E02005052,0
E02000841,0
E02007046,0
E02004414,0
E02005025,0
E02000676,0
E02006785,0
E02000641,0
E02000333,0
E02006376,0
E02000132,0
E02000671,0
E02000979,0
E02000705,0
E02000795,0
E02004388,0
E02000231,0
E02000972,0
E02005016,0
E02000645,0
E02000647,0
E02000137,0
E02000677,0
E02000601,0
E02000392,0
E02000828,0
E02006322,0
E02000844,0
E02000930,0
E02000663,0
E02000685,0
E02000655,0
E02005022,0
E02000193,0
E02005051,0
E02000611,0
E02000214,0
E02004380,0
E02005145,0
E02006535,0
E02006600,0
E02000329,0
E02006928,0
E02006438,0
E02000532,0
E02006433,0
E02006379,0
E02000833,0
E02000341,0
E02000320,0
E02000940,0
E02000390,0
E02000144,0
E02000230,0
E02000713,0
E02000824,0
E02005032,0
E02004421,0
E02003336,0
E02003346,0
E02000669,0
E02005140,0
E02000210,0
E02000318,0
E02000146,0
E02004406,0
E02000142,0
E02000692,0
E02003516,0
E02000151,0
E02000949,0
E02005078,0
E02000798,0
E02000315,0
E02006879,0
E02000630,0
E02000693,0
E02000935,0
E02006783,0
E02000818,0
E02005101,0
E02000161,0
E02000578,0
E02005028,0
E02000202,0
E02000956,0
E02006382,0
E02005026,0
E02000786,0
E02006782,0
E02006580,0
E02000615,0
E02006858,0
E02005136,0
E02000860,0
E02000606,0
E02000848,0
E02003333,0
E02000208,0
E02005045,0
E02003497,0
E02003519,0
E02004419,0
E02006388,0
E02000135,0
E02000376,0
E02004390,0
E02003496,0
